"Country","Date","Daily.Cases","Daily.Deaths"
"Australia","2020-08-09",313,18
"Australia","2020-08-10",316,18
"Australia","2020-08-11",414,21
"Australia","2020-08-12",231,9
"Australia","2020-08-13",384,14
"Australia","2020-08-14",293,4
"Australia","2020-08-15",252,17
"Australia","2020-08-16",271,25
"Australia","2020-08-17",215,17
"Australia","2020-08-18",216,12
"Australia","2020-08-19",247,13
"Australia","2020-08-20",171,9
"Australia","2020-08-21",195,13
"Australia","2020-08-22",209,17
"Australia","2020-08-23",104,15
"Australia","2020-08-24",138,8
"Australia","2020-08-25",151,24
"Australia","2020-08-26",118,23
"Australia","2020-08-27",126,11
"Australia","2020-08-28",99,17
"Australia","2020-08-29",123,11
"Australia","2020-08-30",76,41
"Australia","2020-08-31",73,5
"Australia","2020-09-01",104,6
"Australia","2020-09-02",126,15
"Australia","2020-09-03",87,59
"Australia","2020-09-04",71,11
"Australia","2020-09-05",71,5
"Australia","2020-09-06",43,9
"Australia","2020-09-07",52,8
"Australia","2020-09-08",92,11
"Australia","2020-09-09",59,7
"Australia","2020-09-10",40,9
"Australia","2020-09-11",43,6
"Australia","2020-09-12",44,7
"Australia","2020-09-13",41,6
"Australia","2020-09-14",47,0
"Australia","2020-09-15",39,8
"Australia","2020-09-16",35,8
"Australia","2020-09-17",48,5
"Australia","2020-09-18",24,7
"Australia","2020-09-19",13,5
"Australia","2020-09-20",14,2
"Australia","2020-09-21",30,3
"Australia","2020-09-22",30,5
"Australia","2020-09-23",8,2
"Australia","2020-09-24",20,8
"Australia","2020-09-25",16,1
"Australia","2020-09-26",24,2
"Australia","2020-09-27",4,3
"Australia","2020-09-28",11,7
"Australia","2020-09-29",23,4
"Australia","2020-09-30",18,2
"Australia","2020-10-01",13,2
"Australia","2020-10-02",12,3
"Australia","2020-10-03",14,1
"Australia","2020-10-04",13,0
"Australia","2020-10-05",25,1
"Australia","2020-10-06",8,2
"Australia","2020-10-07",25,0
"Australia","2020-10-08",20,0
"Australia","2020-10-09",18,0
"Australia","2020-10-10",19,1
"Australia","2020-10-11",22,0
"Australia","2020-10-12",25,1
"Australia","2020-10-13",27,5
"Australia","2020-10-14",20,0
"Australia","2020-10-15",14,0
"Australia","2020-10-16",7,0
"Australia","2020-10-17",12,0
"Australia","2020-10-18",9,1
"Australia","2020-10-19",6,0
"Australia","2020-10-20",38,0
"Australia","2020-10-21",15,0
"Australia","2020-10-22",18,0
"Australia","2020-10-23",19,0
"Australia","2020-10-24",18,0
"Australia","2020-10-25",12,0
"Australia","2020-10-26",14,0
"Australia","2020-10-27",14,2
"Australia","2020-10-28",12,0
"Australia","2020-10-29",14,0
"Australia","2020-10-30",6,0
"Australia","2020-10-31",10,0
"Australia","2020-11-01",6,0
"Australia","2020-11-02",9,0
"Australia","2020-11-03",12,0
"Australia","2020-11-04",8,0
"Australia","2020-11-05",14,0
"Australia","2020-11-06",8,0
"Australia","2020-11-07",6,0
"Australia","2020-11-08",7,0
"Australia","2020-11-09",4,0
"Australia","2020-11-10",2,0
"Australia","2020-11-11",4,0
"Australia","2020-11-12",1,0
"Australia","2020-11-13",6,0
"Australia","2020-11-14",29,0
"Australia","2020-11-15",38,0
"Australia","2020-11-16",9,0
"Australia","2020-11-17",19,0
"Australia","2020-11-18",8,0
"Australia","2020-11-19",7,0
"Australia","2020-11-20",14,0
"Australia","2020-11-21",15,0
"Australia","2020-11-22",13,0
"Australia","2020-11-23",9,0
"Australia","2020-11-24",10,0
"Australia","2020-11-25",12,0
"Australia","2020-11-26",8,0
"Australia","2020-11-27",13,0
"Australia","2020-11-28",6,0
"Australia","2020-11-29",10,1
"Australia","2020-11-30",10,0
"Australia","2020-12-01",11,0
"Australia","2020-12-02",16,0
"Australia","2020-12-03",10,0
"Australia","2020-12-04",7,0
"Australia","2020-12-05",9,0
"Australia","2020-12-06",7,0
"Australia","2020-12-07",15,0
"Australia","2020-12-08",6,0
"Australia","2020-12-09",7,0
"Australia","2020-12-10",11,0
"Australia","2020-12-11",14,0
"Australia","2020-12-12",5,0
"Australia","2020-12-13",7,0
"Australia","2020-12-14",11,0
"Australia","2020-12-15",12,0
"Australia","2020-12-16",12,0
"Australia","2020-12-17",21,0
"Australia","2020-12-18",33,0
"Australia","2020-12-19",42,0
"Australia","2020-12-20",30,0
"Australia","2020-12-21",21,0
"Australia","2020-12-22",18,0
"Australia","2020-12-23",25,0
"Australia","2020-12-24",12,0
"Australia","2020-12-25",23,0
"Australia","2020-12-26",11,0
"Australia","2020-12-27",29,1
"Australia","2020-12-28",12,0
"Australia","2020-12-29",32,0
"Australia","2020-12-30",24,0
"Australia","2020-12-31",20,0
"Australia","2021-01-01",35,0
"Australia","2021-01-02",24,0
"Australia","2021-01-03",20,0
"Australia","2021-01-04",13,0
"Australia","2021-01-05",19,0
"Australia","2021-01-06",10,0
"Australia","2021-01-07",25,0
"Australia","2021-01-08",11,0
"Australia","2021-01-09",13,0
"Australia","2021-01-10",19,0
"Australia","2021-01-11",20,0
"Australia","2021-01-12",16,0
"Australia","2021-01-13",10,0
"Australia","2021-01-14",9,0
"Australia","2021-01-15",20,0
"Australia","2021-01-16",19,0
"Australia","2021-01-17",13,0
"Australia","2021-01-18",10,0
"Australia","2021-01-19",9,0
"Australia","2021-01-20",9,0
"Australia","2021-01-21",6,0
"Australia","2021-01-22",5,0
"Australia","2021-01-23",6,0
"Australia","2021-01-24",11,0
"Australia","2021-01-25",3,0
"Australia","2021-01-26",6,0
"Australia","2021-01-27",8,0
"Australia","2021-01-28",5,0
"Australia","2021-01-29",7,0
"Australia","2021-01-30",5,0
"Australia","2021-01-31",7,0
"Australia","2021-02-01",5,0
"Australia","2021-02-02",6,0
"Australia","2021-02-03",9,0
"Australia","2021-02-04",4,0
"Australia","2021-02-05",6,0
"Australia","2021-02-06",3,0
"Australia","2021-02-07",6,0
"Australia","2021-02-08",3,0
"Australia","2021-02-09",11,0
"Australia","2021-02-10",8,0
"Australia","2021-02-11",8,0
"Australia","2021-02-12",5,0
"Australia","2021-02-13",6,0
"Australia","2021-02-14",2,0
"Australia","2021-02-15",5,0
"Australia","2021-02-16",6,0
"Australia","2021-02-17",1,0
"Australia","2021-02-18",6,0
"Australia","2021-02-19",2,0
"Australia","2021-02-20",6,0
"Australia","2021-02-21",4,0
"Australia","2021-02-22",7,0
"Australia","2021-02-23",2,0
"Australia","2021-02-24",8,0
"Australia","2021-02-25",10,0
"Australia","2021-02-26",8,0
"Australia","2021-02-27",5,0
"Australia","2021-02-28",8,0
"Australia","2021-03-01",8,0
"Australia","2021-03-02",10,0
"Australia","2021-03-03",11,0
"Australia","2021-03-04",14,0
"Australia","2021-03-05",8,0
"Australia","2021-03-06",5,0
"Australia","2021-03-07",12,0
"Australia","2021-03-08",15,0
"Australia","2021-03-09",13,0
"Australia","2021-03-10",16,0
"Australia","2021-03-11",12,0
"Australia","2021-03-12",10,0
"Australia","2021-03-13",5,0
"Australia","2021-03-14",13,0
"Australia","2021-03-15",7,0
"Australia","2021-03-16",17,0
"Australia","2021-03-17",12,0
"Australia","2021-03-18",17,0
"Australia","2021-03-19",9,0
"Australia","2021-03-20",4,0
"Australia","2021-03-21",10,0
"Australia","2021-03-22",5,0
"Australia","2021-03-23",10,0
"Australia","2021-03-24",9,0
"Australia","2021-03-25",9,0
"Australia","2021-03-26",13,0
"Australia","2021-03-27",7,0
"Australia","2021-03-28",17,0
"Australia","2021-03-29",20,0
"Australia","2021-03-30",8,0
"Australia","2021-03-31",18,0
"Australia","2021-04-01",11,0
"Australia","2021-04-02",8,0
"Australia","2021-04-03",7,0
"Australia","2021-04-04",9,0
"Australia","2021-04-05",8,0
"Australia","2021-04-06",14,0
"Australia","2021-04-07",6,0
"Australia","2021-04-08",5,0
"Australia","2021-04-09",6,0
"Australia","2021-04-10",9,0
"Australia","2021-04-11",14,0
"Australia","2021-04-12",10,1
"Australia","2021-04-13",21,0
"Australia","2021-04-14",19,0
"Australia","2021-04-15",15,0
"Australia","2021-04-16",15,0
"Australia","2021-04-17",20,0
"Australia","2021-04-18",14,0
"Australia","2021-04-19",23,0
"Australia","2021-04-20",20,0
"Australia","2021-04-21",18,0
"Australia","2021-04-22",44,0
"Australia","2021-04-23",15,0
"Australia","2021-04-24",10,0
"Australia","2021-04-25",17,0
"Australia","2021-04-26",37,0
"Australia","2021-04-27",33,0
"Australia","2021-04-28",23,0
"Australia","2021-04-29",25,0
"Australia","2021-04-30",13,0
"Australia","2021-05-01",13,0
"Australia","2021-05-02",14,0
"Australia","2021-05-03",12,0
"Australia","2021-05-04",15,0
"Australia","2021-05-05",19,0
"Australia","2021-05-06",9,0
"Australia","2021-05-07",13,0
"Australia","2021-05-08",16,0
"Australia","2021-05-09",9,0
"Australia","2021-05-10",7,0
"Australia","2021-05-11",8,0
"Australia","2021-05-12",9,0
"Australia","2021-05-13",2,0
"Australia","2021-05-14",7,0
"Australia","2021-05-15",11,0
"Australia","2021-05-16",3,0
"Australia","2021-05-17",5,0
"Australia","2021-05-18",9,0
"Australia","2021-05-19",3,0
"Australia","2021-05-20",4,0
"Australia","2021-05-21",4,0
"Australia","2021-05-22",4,0
"Australia","2021-05-23",12,0
"Australia","2021-05-24",10,0
"Australia","2021-05-25",17,0
"Australia","2021-05-26",17,0
"Australia","2021-05-27",11,0
"Australia","2021-05-28",9,0
"Australia","2021-05-29",13,0
"Australia","2021-05-30",9,0
"Australia","2021-05-31",13,0
"Canada","2020-01-01",0,0
"Canada","2020-01-02",0,0
"Canada","2020-01-03",0,0
"Canada","2020-01-04",0,0
"Canada","2020-01-05",0,0
"Canada","2020-01-06",0,0
"Canada","2020-01-07",0,0
"Canada","2020-01-08",0,0
"Canada","2020-01-09",0,0
"Canada","2020-01-10",0,0
"Canada","2020-01-11",0,0
"Canada","2020-01-12",0,0
"Canada","2020-01-13",0,0
"Canada","2020-01-14",0,0
"Canada","2020-01-15",0,0
"Canada","2020-01-16",0,0
"Canada","2020-01-17",0,0
"Canada","2020-01-18",0,0
"Canada","2020-01-19",0,0
"Canada","2020-01-20",0,0
"Canada","2020-01-21",0,0
"Canada","2020-01-22",0,0
"Canada","2020-01-23",0,0
"Canada","2020-01-24",0,0
"Canada","2020-01-25",0,0
"Canada","2020-01-26",1,0
"Canada","2020-01-27",0,0
"Canada","2020-01-28",1,0
"Canada","2020-01-29",0,0
"Canada","2020-01-30",0,0
"Canada","2020-01-31",2,0
"Canada","2020-02-01",0,0
"Canada","2020-02-02",0,0
"Canada","2020-02-03",0,0
"Canada","2020-02-04",0,0
"Canada","2020-02-05",1,0
"Canada","2020-02-06",0,0
"Canada","2020-02-07",2,0
"Canada","2020-02-08",0,0
"Canada","2020-02-09",0,0
"Canada","2020-02-10",0,0
"Canada","2020-02-11",0,0
"Canada","2020-02-12",0,0
"Canada","2020-02-13",0,0
"Canada","2020-02-14",0,0
"Canada","2020-02-15",0,0
"Canada","2020-02-16",0,0
"Canada","2020-02-17",1,0
"Canada","2020-02-18",0,0
"Canada","2020-02-19",0,0
"Canada","2020-02-20",0,0
"Canada","2020-02-21",1,0
"Canada","2020-02-22",0,0
"Canada","2020-02-23",0,0
"Canada","2020-02-24",1,0
"Canada","2020-02-25",1,0
"Canada","2020-02-26",0,0
"Canada","2020-02-27",2,0
"Canada","2020-02-28",1,0
"Canada","2020-02-29",6,0
"Canada","2020-03-01",4,0
"Canada","2020-03-02",3,0
"Canada","2020-03-03",3,0
"Canada","2020-03-04",3,0
"Canada","2020-03-05",4,0
"Canada","2020-03-06",12,0
"Canada","2020-03-07",5,0
"Canada","2020-03-08",10,0
"Canada","2020-03-09",13,1
"Canada","2020-03-10",2,0
"Canada","2020-03-11",29,0
"Canada","2020-03-12",9,0
"Canada","2020-03-13",76,0
"Canada","2020-03-14",5,0
"Canada","2020-03-15",54,0
"Canada","2020-03-16",163,3
"Canada","2020-03-17",63,2
"Canada","2020-03-18",179,5
"Canada","2020-03-19",143,0
"Canada","2020-03-20",143,4
"Canada","2020-03-21",334,4
"Canada","2020-03-22",192,3
"Canada","2020-03-23",619,7
"Canada","2020-03-24",702,4
"Canada","2020-03-25",461,9
"Canada","2020-03-26",791,15
"Canada","2020-03-27",640,9
"Canada","2020-03-28",894,16
"Canada","2020-03-29",704,14
"Canada","2020-03-30",1118,29
"Canada","2020-03-31",1129,27
"Canada","2020-04-01",1033,23
"Canada","2020-04-02",1724,49
"Canada","2020-04-03",1153,53
"Canada","2020-04-04",541,83
"Canada","2020-04-05",2778,75
"Canada","2020-04-06",807,85
"Canada","2020-04-07",1309,61
"Canada","2020-04-08",1269,67
"Canada","2020-04-09",1513,123
"Canada","2020-04-10",1405,96
"Canada","2020-04-11",1257,119
"Canada","2020-04-12",983,109
"Canada","2020-04-13",1381,130
"Canada","2020-04-14",1355,136
"Canada","2020-04-15",1174,154
"Canada","2020-04-16",2600,203
"Canada","2020-04-17",2005,126
"Canada","2020-04-18",1542,143
"Canada","2020-04-19",1277,158
"Canada","2020-04-20",2025,146
"Canada","2020-04-21",1744,193
"Canada","2020-04-22",2261,195
"Canada","2020-04-23",1636,171
"Canada","2020-04-24",1620,180
"Canada","2020-04-25",1452,187
"Canada","2020-04-26",1662,157
"Canada","2020-04-27",1583,185
"Canada","2020-04-28",1534,197
"Canada","2020-04-29",1715,244
"Canada","2020-04-30",1592,179
"Canada","2020-05-01",1886,202
"Canada","2020-05-02",1583,148
"Canada","2020-05-03",2578,140
"Canada","2020-05-04",1453,242
"Canada","2020-05-05",1258,170
"Canada","2020-05-06",1479,159
"Canada","2020-05-07",1507,147
"Canada","2020-05-08",1473,153
"Canada","2020-05-09",1244,164
"Canada","2020-05-10",1173,118
"Canada","2020-05-11",1173,134
"Canada","2020-05-12",1155,151
"Canada","2020-05-13",1149,103
"Canada","2020-05-14",1213,121
"Canada","2020-05-15",1178,121
"Canada","2020-05-16",1247,119
"Canada","2020-05-17",1126,90
"Canada","2020-05-18",1079,92
"Canada","2020-05-19",1082,75
"Canada","2020-05-20",1082,122
"Canada","2020-05-21",1167,96
"Canada","2020-05-22",1205,98
"Canada","2020-05-23",1204,94
"Canada","2020-05-24",955,88
"Canada","2020-05-25",1013,94
"Canada","2020-05-26",971,92
"Canada","2020-05-27",899,94
"Canada","2020-05-28",987,111
"Canada","2020-05-29",933,80
"Canada","2020-05-30",772,60
"Canada","2020-05-31",798,49
"Canada","2020-06-01",809,46
"Canada","2020-06-02",672,56
"Canada","2020-06-03",681,54
"Canada","2020-06-04",628,64
"Canada","2020-06-05",678,40
"Canada","2020-06-06",528,62
"Canada","2020-06-07",703,41
"Canada","2020-06-08",601,44
"Canada","2020-06-09",462,34
"Canada","2020-06-10",479,35
"Canada","2020-06-11",439,31
"Canada","2020-06-12",436,29
"Canada","2020-06-13",448,28
"Canada","2020-06-14",361,19
"Canada","2020-06-15",359,8
"Canada","2020-06-16",324,24
"Canada","2020-06-17",404,21
"Canada","2020-06-18",386,13
"Canada","2020-06-19",437,25
"Canada","2020-06-20",448,29
"Canada","2020-06-21",316,17
"Canada","2020-06-22",340,20
"Canada","2020-06-23",349,24
"Canada","2020-06-24",320,30
"Canada","2020-06-25",376,23
"Canada","2020-06-26",166,7
"Canada","2020-06-27",249,9
"Canada","2020-06-28",315,10
"Canada","2020-06-29",637,19
"Canada","2020-06-30",267,12
"Canada","2020-07-01",191,10
"Canada","2020-07-02",355,16
"Canada","2020-07-03",319,7
"Canada","2020-07-04",223,8
"Canada","2020-07-05",209,2
"Canada","2020-07-06",421,13
"Canada","2020-07-07",208,7
"Canada","2020-07-08",311,12
"Canada","2020-07-09",322,10
"Canada","2020-07-10",328,14
"Canada","2020-07-11",166,3
"Canada","2020-07-12",198,5
"Canada","2020-07-13",636,8
"Canada","2020-07-14",366,5
"Canada","2020-07-15",343,14
"Canada","2020-07-16",451,12
"Canada","2020-07-17",415,10
"Canada","2020-07-18",316,3
"Canada","2020-07-19",293,4
"Canada","2020-07-20",770,4
"Canada","2020-07-21",535,7
"Canada","2020-07-22",317,4
"Canada","2020-07-23",608,8
"Canada","2020-07-24",717,4
"Canada","2020-07-25",355,4
"Canada","2020-07-26",319,4
"Canada","2020-07-27",682,13
"Canada","2020-07-28",400,10
"Canada","2020-07-29",486,5
"Canada","2020-07-30",320,13
"Canada","2020-07-31",604,6
"Canada","2020-08-01",242,4
"Canada","2020-08-02",245,3
"Canada","2020-08-03",205,3
"Canada","2020-08-04",686,8
"Canada","2020-08-05",374,6
"Canada","2020-08-06",354,6
"Canada","2020-08-07",516,5
"Canada","2020-08-08",245,4
"Canada","2020-08-09",219,3
"Canada","2020-08-10",686,7
"Canada","2020-08-11",336,6
"Canada","2020-08-12",314,5
"Canada","2020-08-13",477,6
"Canada","2020-08-14",425,4
"Canada","2020-08-15",220,6
"Canada","2020-08-16",179,5
"Canada","2020-08-17",214,2
"Canada","2020-08-18",866,10
"Canada","2020-08-19",324,6
"Canada","2020-08-20",217,3
"Canada","2020-08-21",694,14
"Canada","2020-08-22",241,1
"Canada","2020-08-23",257,4
"Canada","2020-08-24",777,8
"Canada","2020-08-25",309,5
"Canada","2020-08-26",477,5
"Canada","2020-08-27",456,4
"Canada","2020-08-28",506,13
"Canada","2020-08-29",297,3
"Canada","2020-08-30",249,1
"Canada","2020-08-31",1030,8
"Canada","2020-09-01",504,4
"Canada","2020-09-02",519,2
"Canada","2020-09-03",586,6
"Canada","2020-09-04",614,1
"Canada","2020-09-05",370,1
"Canada","2020-09-06",379,2
"Canada","2020-09-07",405,3
"Canada","2020-09-08",1462,7
"Canada","2020-09-09",378,4
"Canada","2020-09-10",821,8
"Canada","2020-09-11",720,0
"Canada","2020-09-12",488,2
"Canada","2020-09-13",476,3
"Canada","2020-09-14",1458,13
"Canada","2020-09-15",802,8
"Canada","2020-09-16",952,5
"Canada","2020-09-17",1027,5
"Canada","2020-09-18",1174,12
"Canada","2020-09-19",554,7
"Canada","2020-09-20",1143,2
"Canada","2020-09-21",1833,12
"Canada","2020-09-22",1272,9
"Canada","2020-09-23",1084,8
"Canada","2020-09-24",1148,8
"Canada","2020-09-25",1630,7
"Canada","2020-09-26",1053,6
"Canada","2020-09-27",1658,5
"Canada","2020-09-28",1791,17
"Canada","2020-09-29",1772,13
"Canada","2020-09-30",2116,18
"Canada","2020-10-01",1823,16
"Canada","2020-10-02",2124,98
"Canada","2020-10-03",1306,21
"Canada","2020-10-04",2141,44
"Canada","2020-10-05",2883,29
"Canada","2020-10-06",2372,18
"Canada","2020-10-07",1624,19
"Canada","2020-10-08",2350,18
"Canada","2020-10-09",2895,14
"Canada","2020-10-10",2142,26
"Canada","2020-10-11",1636,14
"Canada","2020-10-12",975,12
"Canada","2020-10-13",4111,32
"Canada","2020-10-14",2575,25
"Canada","2020-10-15",2298,19
"Canada","2020-10-16",2566,32
"Canada","2020-10-17",139,8
"Canada","2020-10-18",3737,24
"Canada","2020-10-19",3307,31
"Canada","2020-10-20",2238,18
"Canada","2020-10-21",2687,37
"Canada","2020-10-22",2581,31
"Canada","2020-10-23",2902,27
"Canada","2020-10-24",1532,22
"Canada","2020-10-25",2823,31
"Canada","2020-10-26",4099,38
"Canada","2020-10-27",2730,25
"Canada","2020-10-28",2663,38
"Canada","2020-10-29",3017,34
"Canada","2020-10-30",3556,45
"Canada","2020-10-31",2374,39
"Canada","2020-11-01",2336,37
"Canada","2020-11-02",3529,32
"Canada","2020-11-03",4738,58
"Canada","2020-11-04",2782,41
"Canada","2020-11-05",2784,40
"Canada","2020-11-06",5393,62
"Canada","2020-11-07",4346,47
"Canada","2020-11-08",3944,48
"Canada","2020-11-09",4871,61
"Canada","2020-11-10",4445,67
"Canada","2020-11-11",3984,63
"Canada","2020-11-12",5474,73
"Canada","2020-11-13",4770,46
"Canada","2020-11-14",4430,62
"Canada","2020-11-15",4301,65
"Canada","2020-11-16",6033,74
"Canada","2020-11-17",4462,68
"Canada","2020-11-18",4518,104
"Canada","2020-11-19",4794,70
"Canada","2020-11-20",4987,67
"Canada","2020-11-21",4957,66
"Canada","2020-11-22",4745,56
"Canada","2020-11-23",6795,79
"Canada","2020-11-24",5282,100
"Canada","2020-11-25",4958,58
"Canada","2020-11-26",5679,82
"Canada","2020-11-27",5954,86
"Canada","2020-11-28",5675,68
"Canada","2020-11-29",5383,74
"Canada","2020-11-30",7895,109
"Canada","2020-12-01",5495,78
"Canada","2020-12-02",6454,106
"Canada","2020-12-03",6264,90
"Canada","2020-12-04",6419,103
"Canada","2020-12-05",6354,74
"Canada","2020-12-06",6305,85
"Canada","2020-12-07",7724,121
"Canada","2020-12-08",6171,97
"Canada","2020-12-09",6399,116
"Canada","2020-12-10",6686,118
"Canada","2020-12-11",6715,128
